Batsman,Dismissal,Runs,Balls,Minutes,4s,6s,StrikeRate,Year
Roy Fredericks,hit wicket b Lillee,7,13,14,0,0,53.85,1975
Sir Gordon Greenidge,c Marsh b Thomson,13,61,80,1,0,21.31,1975
Alvin Kallicharran,c Marsh b Gilmour,12,18,26,2,0,66.67,1975
Rohan Kanhai,b Gilmour,55,105,156,8,0,52.38,1975
Sir Clive Lloyd,c Marsh b Gilmour,102,85,108,12,2,120.0,1975
Sir Viv Richards,b Gilmour,5,11,12,1,0,45.45,1975
Keith Boyce,c GS Chappell b Thomson,34,37,43,3,0,91.89,1975
Bernard Julien,not out,26,37,54,1,0,70.27,1975
Deryck Murray,c & b Gilmour,14,10,11,1,1,140.0,1975
Vanburn Holder,not out,6,2,1,1,0,300.0,1975
Alan Turner,run out (Richards),40,54,85,4,0,74.07,1975
Rick McCosker,c Kallicharran b Boyce,7,24,29,1,0,29.17,1975
Ian Chappell,run out (Richards/Lloyd),62,93,125,6,0,66.67,1975
Greg Chappell,run out (Richards),15,23,24,2,0,65.22,1975
Doug Walters,b Lloyd,35,51,52,5,0,68.63,1975
Rod Marsh,b Boyce,11,24,34,0,0,45.83,1975
Ross Edwards,c Fredericks b Boyce,28,37,51,2,0,75.68,1975
Gary Gilmour,c Kanhai b Boyce,14,11,16,2,0,127.27,1975
Max Walker,run out (Holder),7,9,10,1,0,77.78,1975
Jeff Thomson,run out (Murray),21,21,32,2,0,100.0,1975
Dennis Lillee,not out,16,19,29,1,0,84.21,1975
Glenn Turner,c Kanhai b Roberts,36,74,0,3,0,48.65,1975
John Morrison,lbw b Julien,5,26,0,0,0,19.23,1975
Geoff Howarth,c Murray b Roberts,51,93,0,3,0,54.84,1975
John Parker,b Lloyd,3,12,0,0,0,25.0,1975
Brian Hastings,not out,24,57,0,4,0,42.11,1975
Ken Wadsworth,c Lloyd b Julien,11,21,0,1,0,52.38,1975
Brian McKechnie,lbw b Julien,1,9,0,0,0,11.11,1975
Dayle Hadlee,c Holder b Julien,0,10,0,0,0,0.0,1975
Lance Cairns,b Holder,10,14,0,1,0,71.43,1975
Hedley Howarth,b Holder,0,1,0,0,0,0.0,1975
Richard Collinge,b Holder,2,4,0,0,0,50.0,1975
Roy Fredericks,c Hastings b Hadlee,6,14,0,0,0,42.86,1975
Sir Gordon Greenidge,lbw b Collinge,55,95,0,9,1,57.89,1975
Alvin Kallicharran,c & b Collinge,72,92,0,7,1,78.26,1975
Sir Viv Richards,lbw b Collinge,5,10,0,1,0,50.0,1975
Rohan Kanhai,not out,12,18,0,2,0,66.67,1975
Sir Clive Lloyd,c Hastings b McKechnie,3,8,0,0,0,37.5,1975
Bernard Julien,not out,4,5,0,1,0,80.0,1975
Dennis Amiss,lbw b Gilmour,2,7,11,0,0,28.57,1975
Barry Wood,b Gilmour,6,19,29,1,0,31.58,1975
Keith Fletcher,lbw b Gilmour,8,45,59,0,0,17.78,1975
Tony Greig,c Marsh b Gilmour,7,25,24,1,0,28.0,1975
Frank Hayes,lbw b Gilmour,4,6,9,1,0,66.67,1975
Mike Denness,b Walker,27,60,70,1,0,45.0,1975
Alan Knott,lbw b Gilmour,0,5,3,0,0,0.0,1975
Chris Old,c GS Chappell b Walker,0,3,4,0,0,0.0,1975
John Snow,c Marsh b Lillee,2,14,22,0,0,14.29,1975
Geoff Arnold,not out,18,30,47,2,0,60.0,1975
Peter Lever,lbw b Walker,5,13,15,0,0,38.46,1975
Alan Turner,lbw b Arnold,7,20,32,0,0,35.0,1975
Rick McCosker,b Old,15,50,65,0,0,30.0,1975
Ian Chappell,lbw b Snow,2,19,18,0,0,10.53,1975
Greg Chappell,lbw b Snow,4,9,8,1,0,44.44,1975
Doug Walters,not out,20,43,60,2,0,46.51,1975
Ross Edwards,b Old,0,3,2,0,0,0.0,1975
Rod Marsh,b Old,5,8,7,0,0,62.5,1975
Gary Gilmour,not out,28,28,44,5,0,100.0,1975
Sadiq Mohammad,c Opatha b Warnapura,74,88,0,12,1,84.09,1975
Majid Khan,c Tennekoon b DS de Silva,84,93,0,9,1,90.32,1975
Zaheer Abbas,b Opatha,97,89,0,10,1,108.99,1975
Mushtaq Mohammad,c Heyn b Warnapura,26,48,0,2,0,54.17,1975
Wasim Raja,c Opatha b Warnapura,2,6,0,0,0,33.33,1975
Javed Miandad,not out,28,35,0,1,0,80.0,1975
Imran Khan,b Opatha,0,2,0,0,0,0.0,1975
Pervez Mir,not out,4,7,0,0,0,57.14,1975
Ranjit Fernando,c & b Javed Miandad,21,42,0,3,0,50.0,1975
Bandula Warnapura,b Imran Khan,2,15,0,0,0,13.33,1975
Anura Tennekoon,lbw b Naseer Malik,30,36,0,4,0,83.33,1975
Michael Tissera,c Wasim Bari b Sadiq Mohammad,12,40,0,2,0,30.0,1975
David Heyn,c Zaheer Abbas b Javed Miandad,1,8,0,0,0,12.5,1975
Anura Ranasinghe,b Wasim Raja,9,23,0,0,0,39.13,1975
Mevan Pieris,lbw b Pervez Mir,16,44,0,2,0,36.36,1975
Tony Opatha,c Zaheer Abbas b Sadiq Mohammad,0,10,0,0,0,0.0,1975
Somachandra De Silva,b Imran Khan,26,59,0,4,0,44.07,1975
Lalith Kaluperuma,not out,13,27,0,1,0,48.15,1975
Ajit de Silva,c Wasim Raja b Imran Khan,0,12,0,0,0,0.0,1975
Rick McCosker,c Fredericks b Julien,0,3,2,0,0,0.0,1975
Alan Turner,lbw b Roberts,7,18,39,0,0,38.89,1975
Ian Chappell,c Murray b Boyce,25,63,87,0,0,39.68,1975
Greg Chappell,c Murray b Boyce,15,33,45,0,0,45.45,1975
Doug Walters,run out,7,18,22,0,0,38.89,1975
Ross Edwards,b Richards,58,74,94,6,0,78.38,1975
Rod Marsh,not out,52,84,127,4,0,61.9,1975
Max Walker,lbw b Holder,8,22,18,1,0,36.36,1975
Jeff Thomson,c Holder b Richards,1,3,2,0,0,33.33,1975
Dennis Lillee,b Roberts,3,12,20,0,0,25.0,1975
Ashley Mallett,c Murray b Roberts,0,1,1,0,0,0.0,1975
Roy Fredericks,c Marsh b Mallett,58,105,150,5,0,55.24,1975
Sir Gordon Greenidge,lbw b Walker,16,18,23,2,0,88.89,1975
Alvin Kallicharran,c Mallett b Lillee,78,83,106,14,1,93.98,1975
Sir Viv Richards,not out,15,38,44,2,0,39.47,1975
Rohan Kanhai,not out,18,33,27,1,0,54.55,1975
Sunil Gavaskar,c RJ Hadlee b DR Hadlee,12,14,15,2,0,85.71,1975
Farokh Engineer,lbw b RJ Hadlee,24,36,15,3,0,66.67,1975
Anshuman Gaekwad,c Hastings b RJ Hadlee,37,51,73,3,0,72.55,1975
Gundappa Viswanath,lbw b McKechnie,2,9,49,0,0,22.22,1975
Brijesh Patel,c Wadsworth b HJ Howarth,9,32,42,1,0,28.13,1975
Eknath Solkar,c Wadsworth b HJ Howarth,13,10,9,2,0,130.0,1975
Syed Abid Ali,c HJ Howarth b McKechnie,70,98,107,5,1,71.43,1975
Madan Lal,c & b McKechnie,20,44,52,4,0,45.45,1975
Mohinder Amarnath,c Morrison b DR Hadlee,1,3,4,0,0,33.33,1975
Srinivas Venkataraghavan,not out,26,58,48,3,0,44.83,1975
Bishan Bedi,run out,6,10,8,0,0,60.0,1975
Glenn Turner,not out,114,177,180,13,0,64.41,1975
John Morrison,c Engineer b Bedi,17,34,35,2,0,50.0,1975
Geoff Howarth,run out,9,13,13,2,0,69.23,1975
John Parker,lbw b Abid Ali,1,6,15,0,0,16.67,1975
