Bowler,Overs,Maidens,Runs,Wickets,Economy,0s,4s,6s,Wides,NoBalls,Year,Balls
Dennis Lillee,12,1,55,1,4.58,0,0,0,0,0,1975,72
Gary Gilmour,12,2,48,5,4.0,0,0,0,0,0,1975,72
Jeff Thomson,12,1,44,2,3.67,0,0,0,0,0,1975,72
Max Walker,12,1,71,0,5.92,0,0,0,0,0,1975,72
Greg Chappell,7,0,33,0,4.71,0,0,0,0,0,1975,42
Doug Walters,5,0,23,0,4.6,0,0,0,0,0,1975,30
Bernard Julien,12,0,58,0,4.83,0,0,0,0,0,1975,72
Sir Andy Roberts,11,1,45,0,4.09,0,0,0,0,0,1975,66
Keith Boyce,12,0,50,4,4.17,0,0,0,0,0,1975,72
Vanburn Holder,11.4,1,65,0,5.57,0,0,0,0,0,1975,70
Sir Clive Lloyd,12,1,38,1,3.17,0,0,0,0,0,1975,72
Bernard Julien,12,5,27,4,2.25,0,0,0,0,0,1975,72
Sir Andy Roberts,11,3,18,2,1.64,0,0,0,0,0,1975,66
Vanburn Holder,8.2,0,30,3,3.6,0,0,0,0,0,1975,50
Keith Boyce,9,0,31,0,3.44,0,0,0,0,0,1975,54
Sir Clive Lloyd,12,1,37,1,3.08,0,0,0,0,0,1975,72
Richard Collinge,12,4,28,3,2.33,0,0,0,0,0,1975,72
Dayle Hadlee,10,0,54,1,5.4,0,0,0,0,0,1975,60
Lance Cairns,6.1,2,23,0,3.73,0,0,0,0,0,1975,37
Brian McKechnie,8,0,37,1,4.63,0,0,0,0,0,1975,48
Hedley Howarth,4,0,15,0,3.75,0,0,0,0,0,1975,24
Dennis Lillee,9,3,26,1,2.89,0,0,0,0,0,1975,54
Gary Gilmour,12,6,14,6,1.17,0,0,0,0,0,1975,72
Max Walker,9.2,3,22,3,2.36,0,0,0,0,0,1975,56
Jeff Thomson,6,0,17,0,2.83,0,0,0,0,0,1975,36
Geoff Arnold,7.4,2,15,1,1.96,0,0,0,0,0,1975,46
John Snow,12,0,30,2,2.5,0,0,0,0,0,1975,72
Chris Old,7,2,29,3,4.14,0,0,0,0,0,1975,42
Peter Lever,2,0,7,0,3.5,0,0,0,0,0,1975,12
Tony Opatha,12,0,67,2,5.58,0,0,0,0,0,1975,72
Mevan Pieris,9,0,54,0,6.0,0,0,0,0,0,1975,54
Ajit de Silva,7,1,46,0,6.57,0,0,0,0,0,1975,42
Somachandra De Silva,12,1,61,1,5.08,0,0,0,0,0,1975,72
Lalith Kaluperuma,9,1,35,0,3.89,0,0,0,0,0,1975,54
Bandula Warnapura,8,0,42,3,5.25,0,0,0,0,0,1975,48
Anura Ranasinghe,3,0,10,0,3.33,0,0,0,0,0,1975,18
Asif Masood,6,2,14,0,2.33,0,0,0,0,0,1975,36
Imran Khan,7.1,3,15,3,2.09,0,0,0,0,0,1975,43
Javed Miandad,7,2,22,2,3.14,0,0,0,0,0,1975,42
Naseer Malik,6,1,19,1,3.17,0,0,0,0,0,1975,36
Sadiq Mohammad,6,1,20,2,3.33,0,0,0,0,0,1975,36
Wasim Raja,7,4,7,1,1.0,0,0,0,0,0,1975,42
Mushtaq Mohammad,5,0,16,0,3.2,0,0,0,0,0,1975,30
