BATSMEN,,R,B,M,4s,6s,SR
Dimuth Karunaratne,c du Plessis b Rabada,0,1,3,0,0,0.00
Kusal Perera,b Pretorius,30,34,58,4,0,88.24
Avishka Fernando,c du Plessis b Pretorius,30,29,46,4,0,103.45
Kusal Mendis,c Morris b Pretorius,23,51,75,2,0,45.10
Angelo Mathews,b Morris,11,29,48,1,0,37.93
Dhananjaya de Silva,b Duminy,24,41,54,2,0,58.54
Jeevan Mendis,c Pretorius b Morris,18,46,54,1,1,39.13
Thisara Perera,c Rabada b Phehlukwayo,21,25,41,0,0,84.00
Isuru Udana,c & b Rabada,17,32,40,1,0,53.13
Suranga Lakmal,not out,5,7,23,0,0,71.43
Lasith Malinga,c du Plessis b Morris,4,2,7,1,0,200.00
