BATSMEN,,R,B,M,4s,6s,SR
Martin Guptill,c Buttler b Archer,8,16,25,1,0,50.00
Henry Nicholls,lbw b Woakes,0,1,6,0,0,0.00
Kane Williamson,run out (Wood),27,40,62,3,0,67.50
Ross Taylor,run out (Rashid/Buttler),28,42,54,2,0,66.67
Tom Latham,c Buttler b Plunkett,57,65,106,5,0,87.69
James Neesham,b Wood,19,27,31,1,0,70.37
Colin de Grandhomme,c Root b Stokes,3,13,15,0,0,23.08
Mitchell Santner,lbw b Wood,12,30,58,1,0,40.00
Tim Southee,not out,7,16,30,0,0,43.75
Matt Henry,b Wood,7,13,17,0,0,53.85
Trent Boult,st Buttler b Rashid,4,7,7,1,0,57.14
