,artist_1,artist_2,artist_3,artist_4,artist_5
0,17029,0,0,0,0
1,13866,98,0,0,0
2,9476,6142,0,0,0
3,1297,846,11259,0,0
4,5471,0,0,0,0
5,23154,19591,2051,4717,0
6,6500,1893,11014,0,0
7,2785,42,1178,4252,17029
8,8895,6500,16,4477,297
9,1920,5866,4959,0,0
10,34,3451,0,0,0
11,19753,0,0,0,0
12,3819,42,811,0,0
13,1346,0,0,0,0
14,5866,113,0,0,0
15,2224,0,0,0,0
16,29,0,0,0,0
17,113,0,0,0,0
18,10,0,0,0,0
19,113,18414,0,0,0
20,6368,0,0,0,0
21,11486,0,0,0,0
22,2238,0,0,0,0
23,726,0,0,0,0
24,113,1060,0,0,0
25,1422,739,0,0,0
26,4001,641,0,0,0
27,1285,302,0,0,0
28,5048,0,0,0,0
29,1297,9476,0,0,0
30,169,605,0,0,0
31,6283,745,0,0,0
32,1948,1591,0,0,0
33,568,0,0,0,0
34,1632,114,0,0,0
35,55,1845,652,129,14
36,745,703,0,0,0
37,522,568,0,0,0
38,2347,1635,0,0,0
39,4125,0,0,0,0
40,30,4397,494,460,0
41,1591,0,0,0,0
42,98,4111,0,0,0
43,8605,0,0,0,0
44,3682,0,0,0,0
45,457,62,198,0,0
46,6728,0,0,0,0
47,2544,1409,0,0,0
