Year,Performer
1960,The New Orleans Jazz Doctors
1961,The Four Freshmen
1962,Ray Charles
1963,The Isley Brothers
1963,The Limeliters
1964,Bob Dylan
1964,The Coasters
1965,Ella Fitzgerald
1965,Bo Diddley
1965,The Shirelles
1966,Dick Gregory
1966,The Crystals
1967,The (Young) Rascals
1967,Shangri-Las
1967,"Peter, Paul, and Mary"
1968,The Yardbirds
1968,Dizzy Gillespie
1968,James Brown
1968,Allen Ginsberg
1968,Dionne Warwick
1968,Flip Wilson
1968,Procol Harum
1969,Smokey Robinson
1969,Janis Joplin
1969,Gordon Lightfoot
1969,Carlos Montoya
1969,Lawrence Ferlinghetti
1970,Jefferson Airplane
1970,John Sebastian
1970,Bonnie Bramlett
1970,Ray Charles
1970,John Mayall
1970,Judy Collins
1971,Laura Nyro
1971,Boz Scaggs
1971,Poco
1971,Gordon Lightfoot
1971,Sha Na Na
1972,Bonnie Raitt
1972,Ike & Tina Turner
1972,Blue Oyster Cult
1973,Country Joe McDonald
1973,Todd Rundgren
1974,Bruce Springsteen
1974,Phil Ochs
1975,John Mayall
1975,Harry Chapin
1975,Richie Havens
1976,J.D. Souther
1976,Roomful of Blues
1976,Gary Burton
1977,Charles Mingus
1977,Leo Kottke
1977,Roomful of Blues
1978,Bonnie Raitt
1978,Dave Brubeck
1978,NRBQ
1978,Tower of Power
1979,The Tubes
1979,Albert Collins
1979,John Hammond
1979,Sun Ra
1980,Robin Lane & The Chartbusters
1980,Jorma Kaukonen
1981,NRBQ
1982,Graham Parker
1983,NRBQ
1983,U2
1984,Paul Young
1984,Jools Holland and the Millionaires
1984,Toots and the Maytals
1985,R.E.M.
1985,Afrika Bambaata
1986,Los Lobos
1986,Michael Davis
1987,Elvis Costello
1987,Dana Carvey
1988,The Wailers
1988,NRBQ
1989,Little Feat
1989,Tom-Tom Club
1989,Toots & the Maytals
1990,Ziggy Marley
1990,24-7 Spyz
1990,Trouble Funk
1991,Boogie Down Productions
1991,Shinehead
1991,Tito Puente
1992,A Tribe Called Quest
1992,De La Soul
1992,Mary Chapin Carpenter 
1993,"10,000 Maniacs"
1993,Black Sheep
1993,Jazzy B of Snap
1994,Violent Femmes
1994,Buddy Guy
1994,Buffalo Tom
1995,Indigo Girls
1995,Digable Planets
1995,Bim Skala Bim
1995,Morphine
1996,George Clinton
1996,Coolio
1996,The Fugees
1996,Chucklehead
1997,Bob Dylan
1997,Bo Diddley
1997,The Toasters
1997,Jazz Mandolin Project
1998,KRS-One
1998,Grandmaster Flash
1998,Sonic Youth
1998,Yo La Tengo
1998,Rakim
1998,Luna
1999,Busta Rhymes
1999,Common
1999,Wilco
1999,Vic Chesnutt
1999,Black Star
1999,DJ Maseo
2000,Wyclef Jean
2000,Kelis
2000,Product
2000,G. Love and Special Sauce
2000,The Samples
2000,Melissa Ferrick
2000,MC Paul Barman
2001,Violent Femmes
2001,They Might Be Giants
2001,Ben Harper and the Innocent Criminals
2001,Jurassic 5
2001,M. Doughty
2002,The Get Up Kids
2002,The Roots
2002,Rufus Wainwright
2002,Saves the Day
2002,DJ Spooky
2002,Dar Williams
2003,Joan Jett and the Blackhearts
2003,The Wallflowers
2003,Luna
2003,The Donnas
2003,Lisa Loeb
2003,Ozomatli
2004,Jurassic 5
2004,Béla Fleck and the Flecktones
2004,Reel Big Fish
2004,Blackalicious
2004,Sue Generis
2004,Sleater-Kinney
2005,The Brunettes
2005,Talib Kweli
2005,The Shins
2005,Matt Nathanson
2005,Howie Day
2005,Ben Folds
2006,OK Go
2006,Ted Leo & the Pharmacists
2006,Wilco
2006,Edan
2006,Yerba Buena
2006,Common
2007,Soulive
2007,The Roots
2007,Stardeath and White Dwarfs
2007,Mission of Burma
2007,Yo La Tengo
2007,The Flaming Lips
2008,Vampire Weekend
2008,Lupe Fiasco
2008,The Trolleys
2008,Umphrey's McGee
2008,Girl Talk
2008,M.I.A.
2009,Deer Tick
2009,Sharon Jones & The Dap-Kings
2009,Nas
2009,Doss the Artist & The PGA Tour
2009,Toubab Krewe
2009,Santigold
2009,Of Montreal
2010,Major Lazer
2010,MGMT
2010,Wale
2010,The Black Keys
2010,Snoop Dogg
2011,Das Racist
2011,TV on the Radio
2011,Nicolas Jaar
2011,Lee Fields & The Expressions
2011,Rebirth Brass Band
2011,Wyclef Jean
2011,Diddy-Dirty Money
2012,Sepalcure
2012,What Cheer? Brigade
2012,Childish Gambino
2012,Cam'ron
2012,Twin Shadow
2012,The Walkmen
2012,The Glitch Mob
2013,Big Freedia
2013,What Cheer? Brigade
2013,A-Trak
2013,Dirty Projectors
2013,Deerhunter
2013,Kendrick Lamar
2014,Chance the Rapper
2014,What Cheer? Brigade
2014,Diplo
2014,Cloud Nothings
2014,Dan Deacon
2014,Andrew Bird
2014,Lauryn Hill
2015,Yeasayer
2015,Waka Flocka Flame
2015,Hudson Mohawke
2015,What Cheer? Brigade
2015,Pusha T
2015,Kelela
2015,Modest Mouse
2016,Funkinevil
2016,Tink
2016,Fetty Wap
2016,What Cheer? Brigade
2016,Tinashe
2016,Thundercat
2016,Mac Demarco
2017,Princess Nokia
2017,Empress Of
2017,Young Thug
2017,What Cheer? Brigade
2017,Cherry Glazerr
2017,AlunaGeorge
2017,Erykah Badu
2018,Rico Nasty
2018,DRAM
2018,Nao
2018,What Cheer? Brigade
2018,Rina Sawayama
2018,Whitney
2018,Anderson .Paak
